Model,Accuracy,Precision,Recall,F1-Score,FPR,AUC-ROC
xgb,0.9984034192611103,0.9932883555887572,0.9991898175328182,0.9962303468783292,0.0018070623137940137,0.9999356164411461
lgbm,0.9984406067006808,0.9933931760613525,0.9992602681821384,0.9963180847016126,0.0017787778601868031,0.999945011215325
rf,0.9985819189710483,0.9961524926686217,0.9971350069276472,0.9966435076518637,0.0010308111981294549,0.9999489263641729
Proposed Hybrid,0.9987207520787779,0.9955624765829899,0.9983913768405233,0.9969749199760808,0.0011910897685703152,0.9999528086157112
