Model,Accuracy,Precision,Recall,F1-Score,FPR,AUC-ROC
xgb,0.9986333703586163,0.9929239499772305,0.9990248831034564,0.9959650735832372,0.0014461557552703547,0.9999268612268739
lgbm,0.9986750238019676,0.9931790044149594,0.9990131347071125,0.9960875269421797,0.0013936550512836422,0.9999317420701297
rf,0.9985480799746113,0.995176509247958,0.9962287647736084,0.9957023590056715,0.0009808086062972209,0.9999327672042168
Proposed Hybrid,0.9987444462075532,0.9949616263401488,0.9976150755421885,0.9962865841854244,0.0010261501233766544,0.999939767817688
